@RELATION code_smells_extended

@ATTRIBUTE loc NUMERIC
@ATTRIBUTE wmc NUMERIC
@ATTRIBUTE cbo NUMERIC
@ATTRIBUTE lcom NUMERIC
@ATTRIBUTE rfc NUMERIC
@ATTRIBUTE noc NUMERIC
@ATTRIBUTE totalmethodsqty NUMERIC
@ATTRIBUTE totalfieldsqty NUMERIC
@ATTRIBUTE is_functional_decomposition {yes,no}
@ATTRIBUTE is_data_class {yes,no}
@ATTRIBUTE is_lazy_class {yes,no}
@ATTRIBUTE is_spaghetti {yes,no}
@ATTRIBUTE is_swiss_army_knife {yes,no}
@ATTRIBUTE is_blob {yes,no}
@ATTRIBUTE has_long_method {yes,no}
@ATTRIBUTE has_long_parameter_list {yes,no}

@DATA
5,1,10,0,0,0,1,0,no,no,yes,no,no,no,no,no
25,4,3,6,1,0,4,6,no,no,no,no,no,no,no,no
6,4,2,6,0,0,4,0,no,no,no,no,no,no,no,no
102,3,7,1,11,0,3,1,no,no,no,no,no,no,no,no
40,12,4,6,8,0,4,1,no,no,no,no,no,no,no,no
11,3,15,3,0,0,3,0,no,no,no,no,no,no,no,no
3,1,3,0,0,0,1,0,no,no,yes,no,no,no,no,no
5,1,1,0,0,0,1,1,no,no,yes,no,no,no,no,no
6,1,4,0,5,0,1,0,no,no,yes,no,no,no,no,no
8,2,2,1,0,0,2,0,no,no,yes,no,no,no,no,no
8,1,1,0,0,0,1,4,no,no,no,no,no,no,no,no
6,1,1,0,0,0,1,2,no,no,yes,no,no,no,no,no
7,1,1,0,0,0,1,3,no,no,no,no,no,no,no,no
12,5,9,4,0,0,5,5,no,no,no,no,no,no,no,no
744,155,46,1956,124,0,64,14,no,no,no,yes,no,yes,yes,yes
19,3,8,0,11,0,1,1,no,no,yes,no,no,no,no,no
9,2,8,0,2,0,2,1,no,no,yes,no,no,no,no,no
104,1,4,0,0,0,1,4,no,no,no,no,no,no,no,no
91,13,20,8,44,0,5,7,no,no,no,no,no,no,no,no
8,1,2,0,0,0,1,4,no,no,no,no,no,no,no,no
7,1,1,0,0,0,1,3,no,no,no,no,no,no,no,no
5,1,1,0,0,0,1,1,no,no,yes,no,no,no,no,no
52,1,0,0,0,0,1,0,no,no,no,no,no,no,no,no
5,1,1,0,0,0,1,0,no,no,yes,no,no,no,no,no
11,1,1,0,0,0,1,0,no,no,yes,no,no,no,no,no
11,1,6,0,1,0,1,5,no,no,no,no,no,no,no,no
7,1,1,0,0,0,1,3,no,no,no,no,no,no,no,no
243,53,16,38,59,0,13,17,no,no,no,no,no,no,yes,no
6,1,4,0,2,0,1,0,no,no,yes,no,no,no,no,no
48,7,11,0,17,0,4,2,no,no,no,no,no,no,no,no
5,1,5,0,1,0,1,0,no,no,yes,no,no,no,no,no
49,6,23,0,22,0,2,9,no,no,no,no,no,no,no,no
5,3,2,3,0,0,3,0,no,no,no,no,no,no,no,no
156,25,25,0,75,0,9,9,no,no,no,no,no,no,no,yes
29,6,7,7,2,0,6,6,no,no,no,no,no,no,no,no
5,0,3,0,0,0,0,3,no,no,no,no,no,no,no,no
4,2,6,1,0,0,2,0,no,no,yes,no,no,no,no,no
38,5,11,0,15,0,4,3,no,no,no,no,no,no,no,no
34,6,10,0,17,0,1,3,no,no,no,no,no,no,no,no
11,3,1,3,2,0,3,0,no,no,no,no,no,no,no,no
232,55,65,321,72,0,30,13,no,no,no,no,no,no,no,yes
26,1,0,0,0,0,1,22,no,yes,no,no,no,no,no,no
14,2,2,1,5,0,2,0,no,no,yes,no,no,no,no,no
10,1,2,0,0,0,1,6,no,no,no,no,no,no,no,no
9,2,3,0,7,0,1,0,no,no,yes,no,no,no,no,no
9,2,8,0,1,0,2,1,no,no,yes,no,no,no,no,no
9,2,8,0,2,0,2,1,no,no,yes,no,no,no,no,no
8,2,2,1,0,0,2,0,no,no,yes,no,no,no,no,no
90,1,9,0,0,0,1,16,no,yes,no,no,no,no,no,no
7,1,1,0,0,0,1,3,no,no,no,no,no,no,no,no
174,35,16,0,37,0,10,13,no,no,no,no,no,no,no,no
9,2,8,0,1,0,2,1,no,no,yes,no,no,no,no,no
37,3,3,3,10,0,3,0,no,no,no,no,no,no,no,no
39,7,38,0,14,0,6,5,no,no,no,no,no,no,no,no
9,2,2,1,0,0,2,1,no,no,yes,no,no,no,no,no
9,2,8,0,2,0,2,1,no,no,yes,no,no,no,no,no
32,1,4,0,0,0,1,9,no,yes,no,no,no,no,no,no
7,1,1,0,0,0,1,3,no,no,no,no,no,no,no,no
9,2,8,0,1,0,2,1,no,no,yes,no,no,no,no,no
7,1,1,0,0,0,1,3,no,no,no,no,no,no,no,no
5,1,1,0,0,0,1,0,no,no,yes,no,no,no,no,no
16,0,5,0,0,0,0,14,no,yes,no,no,no,no,no,no
8,1,10,0,2,0,1,2,no,no,yes,no,no,no,no,no
9,2,8,0,2,0,2,1,no,no,yes,no,no,no,no,no
29,1,4,0,0,0,1,3,no,no,no,no,no,no,no,no
153,1,8,0,0,0,1,21,no,yes,no,no,no,no,no,no
8,2,2,1,0,0,2,0,no,no,yes,no,no,no,no,no
5,1,0,0,0,0,1,1,no,no,yes,no,no,no,no,no
17,2,22,0,7,0,1,4,no,no,no,no,no,no,no,no
75,1,0,0,0,0,1,0,no,no,no,no,no,no,no,no
46,7,9,7,17,0,7,6,no,no,no,no,no,no,no,no
6,1,4,0,5,0,1,0,no,no,yes,no,no,no,no,no
13,0,4,0,0,0,0,11,no,yes,no,no,no,no,no,no
47,7,39,0,18,0,6,8,no,no,no,no,no,no,no,no
7,1,1,0,0,0,1,3,no,no,no,no,no,no,no,no
7,1,1,0,0,0,1,3,no,no,no,no,no,no,no,no
53,9,14,0,14,0,3,5,no,no,no,no,no,no,no,no
7,1,1,0,0,0,1,3,no,no,no,no,no,no,no,no
9,2,8,0,1,0,2,1,no,no,yes,no,no,no,no,no
286,1,0,0,0,0,1,0,no,no,no,no,no,no,no,no
55,9,15,0,24,0,4,4,no,no,no,no,no,no,no,no
9,2,8,0,1,0,2,1,no,no,yes,no,no,no,no,no
9,2,8,0,2,0,2,1,no,no,yes,no,no,no,no,no
5,1,2,0,2,0,1,0,no,no,yes,no,no,no,no,no
10,2,3,1,0,0,2,2,no,no,yes,no,no,no,no,no
6,1,1,0,0,0,1,2,no,no,yes,no,no,no,no,no
9,2,8,0,2,0,2,1,no,no,yes,no,no,no,no,no
7,1,1,0,0,0,1,3,no,no,no,no,no,no,no,no
8,1,1,0,0,0,1,4,no,no,no,no,no,no,no,no
5,1,1,0,0,0,1,1,no,no,yes,no,no,no,no,no
5,1,1,0,1,0,1,0,no,no,yes,no,no,no,no,no
97,7,7,1,10,0,3,1,no,no,no,no,no,no,no,no
29,6,5,0,7,0,1,2,no,no,yes,no,no,no,no,no
37,3,4,1,7,0,3,1,no,no,no,no,no,no,no,no
32,5,26,0,16,0,4,8,no,no,no,no,no,no,no,no
61,1,16,0,2,0,1,2,no,no,no,no,no,no,no,no
6,4,2,6,0,0,4,0,no,no,no,no,no,no,no,no
49,10,14,19,15,0,7,3,no,no,no,no,no,no,no,no
7,5,3,10,0,0,5,0,no,no,no,no,no,no,no,no
