@RELATION code_smells_extended

@ATTRIBUTE loc NUMERIC
@ATTRIBUTE wmc NUMERIC
@ATTRIBUTE cbo NUMERIC
@ATTRIBUTE lcom NUMERIC
@ATTRIBUTE rfc NUMERIC
@ATTRIBUTE noc NUMERIC
@ATTRIBUTE totalmethodsqty NUMERIC
@ATTRIBUTE totalfieldsqty NUMERIC
@ATTRIBUTE is_functional_decomposition {yes,no}
@ATTRIBUTE is_data_class {yes,no}
@ATTRIBUTE is_lazy_class {yes,no}
@ATTRIBUTE is_spaghetti {yes,no}
@ATTRIBUTE is_swiss_army_knife {yes,no}
@ATTRIBUTE is_blob {yes,no}
@ATTRIBUTE has_long_method {yes,no}
@ATTRIBUTE has_long_parameter_list {yes,no}

@DATA
54,11,7,0,20,0,2,5,no,no,no,no,no,no,no,no
69,18,16,43,16,0,11,4,no,no,no,no,no,no,no,no
21,6,19,15,1,0,6,1,no,no,no,no,no,no,no,yes
5,1,3,0,1,0,1,0,no,no,yes,no,no,no,no,no
10,1,1,0,0,0,1,3,no,no,no,no,no,no,no,no
17,5,1,0,4,0,1,0,no,no,yes,no,no,no,no,no
132,38,14,78,43,0,16,5,no,no,no,no,no,no,no,no
5,1,2,0,1,0,1,0,no,no,yes,no,no,no,no,no
27,4,8,0,14,0,4,2,no,no,no,no,no,no,no,no
29,8,7,1,11,0,2,1,no,no,yes,no,no,no,no,no
101,9,11,0,18,0,3,5,no,no,no,no,no,no,no,no
56,13,6,6,11,0,12,5,no,no,no,no,no,no,no,no
40,10,8,0,16,0,7,3,no,no,no,no,no,no,no,no
8,2,11,1,1,0,2,0,no,no,yes,no,no,no,no,no
4,1,2,0,0,0,1,0,no,no,yes,no,no,no,no,no
37,12,7,6,16,0,4,1,no,no,no,no,no,no,no,no
13,4,3,1,9,0,2,0,no,no,yes,no,no,no,no,no
11,9,4,36,0,0,9,0,no,no,no,no,no,no,no,no
31,7,23,0,5,0,4,5,no,no,no,no,no,no,no,no
9,2,1,0,0,0,2,1,no,no,yes,no,no,no,no,no
35,7,8,4,9,0,5,1,no,no,no,no,no,no,no,no
6,1,9,0,0,0,1,1,no,no,yes,no,no,no,no,no
3,1,0,0,0,0,1,0,no,no,yes,no,no,no,no,no
14,3,17,1,1,0,3,4,no,no,no,no,no,no,no,no
9,2,1,0,0,0,2,1,no,no,yes,no,no,no,no,no
83,24,11,28,34,0,9,3,no,no,no,no,no,no,no,no
