service,cbo_mean,wmc_mean,dit_mean,noc_mean,rfc_mean,lcom_mean,loc_mean,fanin_mean,fanout_mean,tcc_mean,lcc_mean,num_classes
ts-gateway-service,10.5,3.5,1.0,0.0,7.5,6.5,19.5,1.0,10.5,0.16666667,0.16666667,2
ts-payment-service,7.846153846153846,3.1538461538461537,1.0769230769230769,0.0,7.538461538461538,1.2307692307692308,17.307692307692307,1.7692307692307692,7.846153846153846,0.075,0.075,13
ts-inside-payment-service,6.5,5.416666666666667,1.0416666666666667,0.0,7.583333333333333,2.2083333333333335,31.375,1.75,6.5,0.2509259266666667,0.31018518666666667,24
ts-delivery-service,6.0,2.6,1.0,0.0,2.4,2.2,10.6,1.0,6.0,0.0,0.0,5
ts-seat-service,5.866666666666666,2.8,1.0666666666666667,0.0,6.8,0.6666666666666666,22.533333333333335,0.5333333333333333,5.866666666666666,-0.17222222166666665,-0.17222222166666665,15
ts-execute-service,4.6875,2.5625,1.0625,0.0,4.4375,0.375,18.25,0.5,4.6875,-0.33777777733333336,-0.33777777733333336,16
ts-travel-plan-service,4.95,2.65,1.05,0.0,6.85,1.2,23.5,0.75,4.95,-0.21111111066666666,-0.21111111066666666,20
ts-travel2-service,8.166666666666666,7.333333333333333,1.0555555555555556,0.0,12.444444444444445,4.222222222222222,47.77777777777778,1.1111111111111112,8.166666666666666,-0.019047621428571433,-0.019047621428571433,18
ts-travel-service,8.555555555555555,8.5,1.0555555555555556,0.0,13.277777777777779,4.944444444444445,53.388888888888886,1.2222222222222223,8.555555555555555,0.19615384714285716,0.19615384714285716,18
ts-admin-order-service,6.0,3.0714285714285716,1.0714285714285714,0.0,5.928571428571429,0.7142857142857143,20.714285714285715,0.5714285714285714,6.0,-0.20170939999999996,-0.20170939999999996,14
ts-admin-travel-service,6.285714285714286,4.642857142857143,1.0714285714285714,0.0,7.642857142857143,0.7142857142857143,29.357142857142858,0.5714285714285714,6.285714285714286,-0.22057942076923076,-0.22057942076923076,14
ts-admin-route-service,8.3,3.7,1.1,0.0,8.5,0.7,18.8,0.8,8.3,0.1111111111111111,0.1111111111111111,10
